Title,Company,Location,Experience,Description,Skills,Posted,Job URL
Data Analyst,Decision Tree Analytics & Services,Gurugram,0 Yrs,DATA ANALYST (FRESHER),"SQL, Power Bi, Tableau, Data Analytics, Python, Analytics, Bi, Data analysis",5 days ago,https://www.naukri.com/job-listings-data-analyst-decision-tree-analytics-services-gurugram-0-to-0-years-300525029094
Data Analyst,Hsbc,Bengaluru,0-4 Yrs,"Bachelor s degree in Data Science, Statistics, Computer Science, Mathematics, or a rela...","Computer science, Data analysis, GCP, Analytical, Data collection, Agile, data visualization, Financial services",Today,https://www.naukri.com/job-listings-data-analyst-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-0-to-4-years-040625500042
Data Analyst,S&P Global,Hybrid - Gurugram,0-4 Yrs,Willing to work in 24*5 environment on rotational shifts (including night shifts). Cert...,"Excel, Data Analysis, Financial Data, Research, Data Analytics, SQL, Python, Analytics",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-teknuova-solutions-gurugram-0-to-4-years-210525014171
ML Data Analyst,Netomi,Gurugram,2-5 Yrs,"Educational Qualification: Bachelors or Masters degree in Computer Science, Data Scienc...","Computer science, Data analysis, data science, Analytical, Artificial Intelligence, Machine learning, Natural language processing, Data analytics",5 days ago,https://www.naukri.com/job-listings-ml-data-analyst-msg-ai-gurugram-2-to-5-years-300525501288
Data Analyst - L3,Wipro,Bengaluru,3-5 Yrs,Role PurposeThe purpose of this role is to interpret data and turn into information (re...,"python, dashboards management, data analysis, data mining, data warehousing, business analytics, Analytics, Data",2 days ago,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-bengaluru-3-to-5-years-020625919001
Data Analyst - L3,Wipro,Bengaluru,3-5 Yrs,Experience: 3-5 Years,"Data Warehousing, Data analysis, data validation, data mining, business analytics, dashboards, data integration, Integration",1 day ago,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-bengaluru-3-to-5-years-030625918217
Data Analyst,Talkdesk,Bengaluru,1-3 Yrs,Qualifications: . Education : Bachelor s degree in Computer Science or related field re...,"Computer science, Data analysis, Data migration, Data management, Data modeling, Analytical, Data quality, Data analytics",Today,https://www.naukri.com/job-listings-data-analyst-talkdesk-bengaluru-1-to-3-years-040625500643
Client Data Analyst,JPMorgan Chase Bank,Bengaluru,0-4 Yrs,Understand the firm s KYC requirements when completing documentation inclusive of Custo...,"Due diligence, Quality standards, Compliance, Analytical, Focus, Data Analyst, Research, Management",5 days ago,https://www.naukri.com/job-listings-client-data-analyst-jp-morgan-chase-bengaluru-0-to-4-years-300525500070
Data Analyst - L4,Wipro,Bengaluru,5-8 Yrs,Experience: 5-8 Years,"IPython, Data analysis, data mining, data warehousing, business analytics, dashboards, Data, Warehouse",1 day ago,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-bengaluru-5-to-8-years-030625913805
Data Analyst,An Indian MNC Company,Ranchi,0-2 Yrs,Qualification: . An ideal candidate is someone from an electrical or electronics backgr...,"Data Analysis, Data Visualization, Energy Audit, SQL Queries, Advanced Excel, Data Analytics, SQL, Analytics",5 days ago,https://www.naukri.com/job-listings-data-analyst-an-indian-mnc-company-ranchi-0-to-2-years-250425018782
Data Analyst,Cigna,Bengaluru,2-6 Yrs,Coding and modelling experience in SQL / R / Python and / or Cloud data platforms e.gIn...,"python, sql, r, data visualization, aws, data management, data analytics, data analysis",6 days ago,https://www.naukri.com/job-listings-data-analyst-cigna-health-solutions-india-private-limited-bengaluru-2-to-6-years-290525927623
Data Analyst,Arvind Limited,Bengaluru,4-8 Yrs,"Qualifications and Skills: . Bachelors degree in Data Analytics, Statistics, Computer S...","Power Bi, Azure Databricks, MS Fabric, SQL, Python, Microsoft Azure, Fabric, Data analysis",Today,https://www.naukri.com/job-listings-data-analyst-arvind-limited-bengaluru-4-to-8-years-250325020113
"Data Analyst-Mapping, Modelling",Capco,Bengaluru,1-6 Yrs,Awarded with Consultancy of the year in the British Bank Award and has been ranked Top ...,"data analysis, data management, data mapping, data profiling, sit, management consulting, python, data analytics",5 days ago,https://www.naukri.com/job-listings-data-analyst-mapping-modelling-capco-technologies-pvt-ltd-bengaluru-1-to-6-years-300525930610
Data Analyst,Leading Client,Bengaluru,2-4 Yrs,"The Data Analyst role involves working with relevant technologies, ensuring smooth oper...","data analysis, data management, data mining, troubleshooting, data visualization, python, macros, data analytics",6 days ago,https://www.naukri.com/job-listings-data-analyst-teamware-solutions-a-division-of-quantum-leap-consulting-private-ltd-bengaluru-2-to-4-years-290525939167
Data Analyst,Sodexo Food Solutions India Pvt. Ltd.ces,Ahmedabad,4-5 Yrs,Sodexo Food Solutions India Pvt. Ltd.ces is looking for Data Analyst to join our dynami...,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",6 days ago,https://www.naukri.com/job-listings-data-analyst-sodexo-food-solutions-india-pvt-ltd-ces-ahmedabad-4-to-5-years-290525500412
Data Analyst - Gurugram,Infosys,"Chennai, Bengaluru, PAN INDIA",5-10 Yrs,"High flexibility to travel. Educational Requirements: Master of Computer Applications, ...","Spark, Hive, Hadoop, Big Data, Kafka, Data, Data analysis",Today,https://www.naukri.com/job-listings-data-analyst-gurugram-infosys-chennai-bengaluru-pan-india-5-to-10-years-210525015253
Data Analyst,Garden City Games,Bengaluru,1-4 Yrs,Minimum must experience,"Diversity and Inclusion, Data Analyst, Data analytics, Gaming, game development, Data analysis, Analytics, Games",1 day ago,https://www.naukri.com/job-listings-data-analyst-garden-city-games-bengaluru-1-to-4-years-030625501749
"Data Eng, Mgmt & Governance Analyst",Accenture,Bengaluru,3-5 Yrs,Skill required: Data Management - Tableau . Years of Experience: 3 to 5 years . About A...,"data management, data analysis, dashboards, sql, tableau, hlookup, charts, conditional formatting",Today,https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-040625924421
Data Analyst,Leading Client,"Hybrid - Mumbai, Hyderabad",6-11 Yrs,"Should must have hands-on experince on Python (NumPuy, Pandas etc.)Should must have wor...","Data Analytics, Infotmatica, Data analysis, NumPuy, Pandas, Data Analyst, ETL, SQL",Few hours ago,https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-mumbai-hyderabad-6-to-11-years-040625929698
Data Analyst(English Required),Peroptyx,Remote,0-5 Yrs,"For thousands of years, maps have provided humans with the knowledge they need to make ...","Data Analysis, English, Data Analytics, Data Mapping, Data, Mapping, Analytics, Analysis",1 week ago,https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-maharashtra-0-to-5-years-280525029784
Staff Software Engineer (Data Engineering),Demandbase,Remote,8-13 Yrs,"Demandbase is seeking creative, highly motivated, enthusiastic engineer individuals ...","SAN, Data analysis, Data modeling, Javascript, Agile, Open source, SQL, Python",3+ weeks ago,https://www.naukri.com/job-listings-staff-software-engineer-data-engineering-demandbase-remote-8-to-13-years-230124500987
Data Modeler/Designer,Future Search&selection,Remote,2-6 Yrs,You will be responsible for: Assess the effectiveness and accuracy of new data sourc...,"Coding, Data collection, Analytics, Data, Collections, Design, Modeling, Modeler",3+ weeks ago,https://www.naukri.com/job-listings-data-modeler-designer-future-search-selection-remote-2-to-6-years-180822502581
Technical Marketing Specialist - Data Science,Censius Ai,Remote,2-5 Yrs,Note: Having prior experience in data science or machine learning is a must for this role,"Health insurance, github, data science, Technical writing, Technical marketing, Machine learning, Flex, Product marketing",3+ weeks ago,https://www.naukri.com/job-listings-technical-marketing-specialist-data-science-censius-ai-remote-2-to-5-years-261222502796
Data Science Trainer,TechKnowledgeHub.org,Remote,3-6 Yrs,"Long-term Engagement: Though part-time, were looking for a long-term relationship to en...","Training, Data analysis, Skill development, data science, Shaping, Machine learning, Programming, Python",3+ weeks ago,https://www.naukri.com/job-listings-data-science-trainer-techknowledgehub-org-remote-3-to-6-years-220424500428
Data Analytics and Operations Associate,Turing Global India,Remote,5-8 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Data management, Coding, Analytical, Venture capital, Business intelligence, SQL, Business operations",3+ weeks ago,https://www.naukri.com/job-listings-data-analytics-and-operations-associate-turing-remote-5-to-8-years-140125510324
